"","title","point","review"
"237","탐정: 리턴즈","10","탐정: 리턴즈이거 재밋다고 한사람 누구랴...소재는재밋었다 근데 뭐 재미는 쏘쏘 "
"238","버닝","9","버닝얼마나 많은 호평과 각각의 해석들이 있을지 기대하고 들어왔는데 지루하다, 재미없다, 예술적 감각이 있는사람만 보라는 댓글들이 수두룩.. 뜻하지 않게 예술적 감각이 있는 사람이 되었다.전종서 연기를(특히 시선처리..)  제외하고 만점 주고싶은 영화. "
"239","탐정: 리턴즈","10","탐정: 리턴즈이광수가 너무 웃겨요 이광수가 살린 영화! "
"240","오션스8","2","오션스8영화보다가 핸드폰으로 축구볼뻔... "
"241","탐정: 리턴즈","10","탐정: 리턴즈1편은 스릴잇고 진짜 탐정같은 느낌이엇다면이번은...그냥 존잼.핵존잼.띵잼웃느라 정신없음. 보기싫다는 남친 끌고갓다가1편까지 정복함. "
"242","탐정: 리턴즈","10","탐정: 리턴즈잼납니다요 하하하 배꼽빠져 "
"243","탐정: 리턴즈","10","탐정: 리턴즈보는내내 지루하지 않았어요. 스토리 코믹 작품 모두 만점 "
"244","아이 필 프리티","9","아이 필 프리티뻔한 스토리였지만 보고나서 자존감에 대해 생각해보는 좋은 영화였습니다. 내가 생각하기에 따라 내 인생도 달라진다는 걸 다시 한번 깨우치게 해주는 영화여서 월요일 시작을 당당하게 할수 있을 것 같아요! "
"245","독전","10","독전재밌고  심각하고  슬프고 재밌고 약간징그럽고 지루하지않은  영화!! "
"246","오션스8","10","오션스8멋진 언니들ㅠㅠ스토리의 긴장감은 11이 최고였지만, 멋진 언니들 나오는 것만으로도 유쾌하고 재밌어요! 스토리의 갈등구조를 별로 즐기지 않는 사람이라면 더 편안하게 볼 수 있는 듯 하네요! "
"247","쥬라기 월드: 폴른 킹덤","8","쥬라기 월드: 폴른 킹덤짱~재밌었다 블루 넘~귀여워 "
"248","오션스8","8","오션스8뻔한스토리지만 재밌다!! "
"249","쥬라기 월드: 폴른 킹덤","9","쥬라기 월드: 폴른 킹덤재밌게 잘봤습니다 지인들에게 추천 하고 싶네요 "
"250","탐정: 리턴즈","8","탐정: 리턴즈넘무 재밌게 봤어요 오랜만에 영화 제대루 좀 "
"251","오션스8","8","오션스8앤헤서웨이가 하드캐리!!! "
"252","조선명탐정: 흡혈괴마의 비밀","10","조선명탐정: 흡혈괴마의 비밀저는 재미있게 봤습니다.본인이쓴   글한줄에어떤분들이  마음에상처을받아  괴로워할수도 있다 는생각을 먼저하셔서 신중한맘으로  글을써주시는게  본인도 맘이편하지 않을까요?왜냐하면  말 과글은 잘못사용하면  무서운무기가될수있는 물건이나 마찬가지니까요. "
"253","사일런트 힐","7","사일런트 힐중간에 조금 엉성하고 유치한 감이 있다게임했던 사람들은 좋아하겠지 "
"254","탐정: 리턴즈","10","탐정: 리턴즈아 이광수 욕하는거 쓰러질뻔 ㅋ "
"255","오션스8","10","오션스8진짜  짱짱몰입해서잘봣어요 배우들 다 넘좋음ㅎ "
"256","탐정: 리턴즈","10","탐정: 리턴즈진짜 너무 재밌게봤어요 ㅋㅋㅋ 후반이 너무 웃겻음ㅋㅌㅌ "
"257","스테이트 오브 플레이","8","스테이트 오브 플레이8점은 충분히 줘야할 영화. 반전은 사실 생각지 못했는데 반전까지.. 처음부터 끝까지 몰입해서 봤다. "
"258","헤이트풀8","8","헤이트풀8말많은 서부,액션,스릴러~ "
"259","나의 소녀시대","10","나의 소녀시대이건 띵작이에요 벤츠를 놓치지 맙시다 타이밍이 중요해 "
"260","탐정: 리턴즈","8","탐정: 리턴즈생각없이즐기기좋은영화 광수잼 "
"261","탐정: 리턴즈","8","탐정: 리턴즈이번편은 이광수가 다했네^^ "
"262","오션스8","10","오션스8올해 본 영화중에 제일 재밌음! "
"263","어벤져스: 인피니티 워","9","어벤져스: 인피니티 워먼가,,,ㅎㅎ아., "
"264","이유없는 반항","9","이유없는 반항이유 있자너가죽 재킷, 셀비지, 엔지니어부츠 그거면 됐자너 "
"265","버닝","7","버닝하도 혹평이 많아서 기대 없이 봤는데 생각보다는 괜찮았네요. 낡고 흉한 비닐하우스를 태운다는 부분에서 많은 생각을 하게 되더군요. "
"266","보이후드","8","보이후드3시간 안되는 러닝타임이 물흐르듯 지나가듯이, 기나긴 촬영기간이 한편의 영화가 되었고 내 인생도 영화가 될 수 있음을 느꼈다 "
"267","쥬라기 월드: 폴른 킹덤","9","쥬라기 월드: 폴른 킹덤4dx로 보기 딱 좋은 블록버스터 영화. 크리스 프랫의 존재감이 정말 크고 마지막까지 긴장감을 놓을 수 없다. 결말까지도 놀라움을 금할 수 없는 속편을 기대하게 만드는 작품이다. "
"268","매드맥스: 분노의 도로","10","매드맥스: 분노의 도로다보고 난 후 목이 칼칼하다!!! "
"269","루킹 글라스","4","루킹 글라스결말은 허접하당;;; "
"270","오션스8","5","오션스8긴장감도 없고 시원하지도 않고.. 앤 해서웨이의 매력만 제대로 확인시켜준 영화임 "
"271","배트맨 비긴즈","10","배트맨 비긴즈영웅들중에 배트맨이 제일 좋음고독한 영웅 . 억지스럽지않은 영웅.  비긴즈는 정말 최고 "
"272","보안관","6","보안관유치하지만..재밌다!!!가볍게 보이소~ "
"273","탐정: 리턴즈","10","탐정: 리턴즈재밋엇어요 가벼운마음으로 가서 보세요 "
"274","탐정: 리턴즈","10","탐정: 리턴즈광수ㅋㅋㅋㅋ삼천만원!!! "
